Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Plate3_A08_3B8B_10471048_DMT79_R1	Plate3_A08_3B8B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3700.0	928.7 kbp	0.0	251.0	57.0	32.027027027027025	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_A08_3B8B_10471048_DMT79_R2	Plate3_A08_3B8B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3700.0	928.7 kbp	0.0	251.0	55.0	25.405405405405407	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_A09_3B9B_10471048_DMT79_R1	Plate3_A09_3B9B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4359.0	1 Mbp	0.0	251.0	57.0	33.65450791465933	251.0	251	pass	fail	fail	pass	fail	fail	fail	pass	fail	fail	pass
Plate3_A09_3B9B_10471048_DMT79_R2	Plate3_A09_3B9B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4359.0	1 Mbp	0.0	251.0	55.0	25.097499426473963	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_A10_3B10B_10471048_DMT79_R1	Plate3_A10_3B10B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4184.0	1 Mbp	0.0	251.0	57.0	35.82695984703633	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	warn	pass
Plate3_A10_3B10B_10471048_DMT79_R2	Plate3_A10_3B10B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4184.0	1 Mbp	0.0	251.0	55.0	27.127151051625237	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
Plate3_A11_3G1B_10471048_DMT79_R1	Plate3_A11_3G1B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2563.0	643.3 kbp	0.0	251.0	57.0	42.52828716348029	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_A11_3G1B_10471048_DMT79_R2	Plate3_A11_3G1B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2563.0	643.3 kbp	0.0	251.0	55.0	34.920015606710884	251.0	251	pass	pass	pass	pass	fail	fail	pass	pass	fail	fail	pass
Plate3_A12_3G2B_10471048_DMT79_R1	Plate3_A12_3G2B_10471048_DMT79_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2168.0	544.1 kbp	0.0	251.0	57.0	42.71217712177122	251.0	251	pass	fail	fail	pass	fail	warn	fail	pass	fail	fail	pass
Plate3_A12_3G2B_10471048_DMT79_R2	Plate3_A12_3G2B_10471048_DMT79_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2168.0	544.1 kbp	0.0	251.0	55.0	35.42435424354243	251.0	251	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	pass
